Age,Income,Family,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
28,81,3,1,276,0,0,0,1,0
58,149,4,2,0,1,0,1,1,1
31,51,2,3,0,0,0,0,0,0
30,39,3,2,0,0,0,0,1,0
53,98,3,2,0,0,0,0,0,0
58,45,4,1,0,0,0,0,1,1
59,49,4,2,0,0,0,0,1,0
49,128,2,1,0,0,0,0,0,0
59,42,3,1,0,0,1,1,0,1
59,18,1,3,0,0,0,0,1,0
51,31,2,3,161,0,0,0,1,1
35,58,3,1,149,0,0,0,1,1
33,48,1,3,0,0,0,0,0,1
25,54,4,1,0,0,0,0,1,1
49,70,2,2,0,0,0,0,0,0
59,124,1,1,0,0,0,0,0,1
46,84,1,2,0,0,0,0,1,1
50,83,4,3,188,0,0,0,1,0
52,163,2,1,116,0,0,0,1,0
48,42,3,2,0,0,0,0,0,0
46,118,2,1,0,0,0,1,1,1
26,132,3,3,0,1,0,0,0,1
57,24,1,1,0,0,0,0,1,1
60,22,2,1,0,0,1,1,1,1
54,58,4,3,0,0,0,0,0,0
24,60,4,1,0,0,0,0,1,0
26,15,4,1,0,0,0,0,0,1
41,83,4,1,0,0,0,0,1,1
32,79,2,3,0,0,0,0,1,1
61,41,4,2,0,0,1,0,1,0
29,134,4,3,0,1,0,0,0,0
61,80,2,1,0,0,0,0,1,0
38,52,1,1,0,0,0,0,0,0
28,70,4,1,0,0,0,0,1,0
53,92,2,1,0,0,1,0,0,0
27,43,1,1,0,0,0,0,1,0
25,21,3,2,0,0,0,0,0,0
33,23,3,3,0,0,0,0,1,1
50,13,4,1,0,0,0,0,1,0
27,112,4,3,0,0,0,0,0,1
27,138,2,1,0,0,0,0,1,0
52,11,3,1,0,0,1,0,0,0
38,171,2,1,0,0,0,0,1,0
58,42,4,1,0,0,0,0,1,1
42,168,2,2,0,1,0,0,1,0
45,85,4,2,0,0,1,0,1,0
52,44,3,2,135,0,0,0,1,0
29,65,4,2,244,0,0,0,0,0
53,24,4,1,0,0,0,0,1,1
62,11,1,1,0,0,0,0,1,0
51,38,2,3,164,0,0,0,1,0
36,10,4,2,81,0,0,0,0,0
24,135,1,1,0,0,0,0,1,0
29,148,3,1,0,1,0,0,1,0
52,63,2,2,0,0,1,0,1,0
39,115,1,3,0,0,0,0,1,0
48,45,1,1,0,0,0,0,1,1
46,159,3,3,315,1,0,0,1,0
64,169,2,1,122,0,0,0,1,0
55,112,2,1,0,0,0,0,1,0
60,93,1,1,0,0,0,0,1,0
51,29,1,3,140,0,0,0,0,0
50,85,1,2,0,0,0,0,1,0
48,21,4,1,0,0,0,0,1,1
53,144,2,1,0,0,0,0,1,0
34,13,4,1,95,0,1,0,1,0
48,165,1,1,0,0,0,0,0,1
55,9,4,1,89,0,0,0,1,0
27,59,4,1,90,0,1,0,1,0
36,158,1,3,0,1,0,1,1,1
32,29,1,3,0,0,0,0,1,1
35,20,2,3,0,0,0,0,1,1
30,68,4,2,0,0,0,0,1,0
58,65,4,1,0,0,0,0,1,0
56,61,2,2,105,0,0,0,0,0
38,91,4,2,100,0,0,0,0,1
49,31,1,1,0,0,1,0,1,0
34,71,4,2,0,0,0,0,0,0
40,73,4,1,0,0,0,0,1,1
64,172,4,1,282,1,0,1,1,1
51,20,2,1,0,0,0,0,0,0
44,55,1,1,0,0,0,0,0,0
46,69,2,1,209,0,0,0,0,0
57,155,1,1,0,0,0,0,1,0
54,94,1,2,0,0,0,0,0,0
38,92,2,1,249,0,0,0,1,1
27,125,2,1,0,0,0,0,0,0
39,74,3,1,0,0,0,0,0,0
44,72,3,3,0,0,0,0,1,0
56,61,1,3,0,0,0,0,1,1
32,25,2,1,0,0,0,0,0,1
45,83,2,2,0,0,0,0,1,0
26,104,3,1,0,0,0,0,0,0
55,41,3,3,0,0,0,0,1,0
52,58,4,3,91,0,0,0,0,0
39,93,1,3,0,0,0,0,0,1
24,39,2,2,0,0,0,0,0,0
47,148,2,1,0,0,0,1,1,1
47,53,4,3,98,0,1,1,0,1
48,71,2,1,145,0,0,0,0,1
47,92,1,2,0,0,0,0,1,0
35,61,4,3,0,0,0,0,1,0
46,38,3,2,135,0,0,0,0,0
62,58,4,1,0,0,0,0,1,0
26,80,1,2,150,0,0,0,0,0
38,71,4,3,0,0,0,0,1,0
43,89,3,3,0,0,0,0,1,1
62,83,1,3,0,0,0,0,1,0
57,28,3,1,0,0,0,0,1,1
28,52,4,2,0,0,0,0,0,0
51,70,1,1,169,0,0,0,0,0
48,71,1,3,0,0,0,0,0,1
41,75,1,3,280,0,0,0,0,0
65,170,3,3,99,1,0,1,1,0
41,78,4,1,78,0,0,0,1,0
35,25,2,2,0,0,0,0,0,0
38,60,2,3,0,0,0,0,1,1
53,120,4,2,111,1,1,1,1,0
55,99,2,1,264,0,0,0,1,1
26,55,3,3,113,0,0,0,0,1
30,29,3,2,117,0,0,0,0,0
54,170,2,2,325,1,0,0,1,0
65,53,3,1,0,0,0,0,0,1
47,138,1,1,0,0,0,0,0,0
65,134,3,3,121,1,0,0,1,0
66,42,2,3,138,0,0,0,0,1
26,99,4,3,0,0,0,0,0,1
66,18,3,1,0,0,0,0,0,1
35,24,4,1,0,0,0,0,1,0
56,55,1,1,77,0,0,0,1,0
51,58,1,1,0,0,0,0,0,1
42,111,2,3,251,1,0,0,1,0
49,33,1,3,0,0,0,1,1,1
27,74,4,2,112,0,0,0,1,1
45,38,2,1,0,0,0,0,0,0
49,23,4,3,98,0,1,0,0,0
63,61,2,1,0,0,0,0,1,0
47,81,1,1,138,0,0,0,0,0
64,129,1,1,0,0,0,0,1,0
43,33,1,3,0,0,0,0,0,0
60,63,4,1,0,0,0,0,1,0
40,70,4,2,0,0,0,0,1,0
29,45,4,1,158,0,0,0,1,1
41,65,3,3,0,0,0,0,1,0
30,74,4,1,0,0,1,0,0,1
49,50,4,3,0,0,1,0,0,0
30,22,4,3,109,0,0,0,1,0
29,30,4,3,0,0,0,0,0,0
50,21,4,1,0,0,0,0,1,0
39,155,2,1,0,0,0,0,1,0
33,64,4,3,164,0,0,0,1,0
57,65,4,3,0,0,0,0,0,1
34,71,4,3,0,0,0,0,1,0
61,40,3,2,0,0,1,0,1,0
44,69,3,3,0,0,0,0,1,0
40,69,3,2,0,0,0,0,0,0
51,45,3,2,131,0,0,0,1,0
37,62,3,2,0,0,0,0,0,1
44,172,2,3,391,1,1,1,1,0
42,24,3,2,0,0,0,0,1,1
51,80,1,1,0,0,0,0,0,0
43,8,3,2,88,0,0,0,1,0
30,38,4,1,129,0,0,0,1,1
45,93,4,3,0,0,0,0,0,0
35,55,1,1,0,0,0,0,1,0
60,64,2,3,0,0,0,0,0,1
34,122,1,1,0,0,0,0,1,0
55,70,3,3,0,0,0,0,1,0
43,81,2,1,0,0,0,0,0,0
41,159,1,3,0,1,0,1,1,0
34,70,4,1,0,0,1,0,0,0
65,150,2,1,196,0,0,0,0,0
45,152,2,1,0,0,0,0,1,0
49,195,4,1,617,1,0,0,0,0
48,22,1,1,0,0,0,0,0,0
60,22,1,1,123,0,0,0,1,0
55,79,3,1,0,0,0,0,1,1
42,33,1,3,0,0,0,0,1,0
32,128,2,1,0,0,0,1,1,1
62,91,1,1,0,0,1,0,1,0
57,39,4,1,0,0,0,0,1,1
52,121,1,1,167,0,0,0,1,0
36,21,1,3,0,0,1,0,1,0
34,41,3,1,0,0,0,0,0,1
63,45,2,3,0,0,0,0,1,0
24,51,3,3,0,0,0,0,1,0
57,165,1,2,0,1,0,0,1,0
40,119,2,2,0,1,0,0,1,0
27,110,4,3,190,0,0,0,1,0
65,20,3,2,0,0,0,0,0,1
60,64,1,2,248,0,0,0,0,0
44,101,3,2,82,1,0,0,0,0
63,101,1,1,0,1,1,1,1,0
59,99,1,1,0,1,0,0,0,0
56,158,4,1,0,1,0,0,0,0
54,89,1,2,0,0,0,0,1,1
52,80,1,3,0,0,0,1,1,1
58,114,2,1,402,0,0,0,1,0
60,49,3,2,0,0,0,0,1,1
28,191,1,1,0,0,0,0,1,0
54,78,4,2,0,0,0,0,1,0
32,28,3,1,0,0,0,0,0,0
59,42,1,2,0,0,0,0,1,0
63,140,1,1,0,0,0,0,0,0
48,45,1,2,0,0,0,0,1,0
56,122,2,1,360,0,0,1,1,1
36,65,3,2,0,0,0,0,1,0
57,68,1,3,0,0,0,0,1,0
29,153,2,1,392,0,0,0,0,0
39,89,4,2,0,0,0,0,0,0
59,91,1,1,0,0,0,0,1,1
31,55,4,2,185,0,0,0,1,0
43,118,2,1,0,0,0,0,0,1
35,22,1,3,103,0,0,0,0,0
54,63,3,3,138,0,0,0,1,1
51,12,4,2,78,0,1,0,1,0
44,50,3,2,0,0,0,0,1,0
25,43,2,3,0,0,1,1,1,1
40,173,4,1,0,1,0,1,1,1
26,60,2,1,132,1,0,0,0,0
39,113,1,3,0,0,1,0,1,0
28,155,4,2,0,1,0,0,1,0
52,91,4,2,0,0,0,0,0,1
53,55,4,2,0,0,0,0,1,0
44,173,2,1,419,0,0,0,1,0
43,71,3,3,0,0,0,0,0,1
56,24,2,3,88,0,0,0,0,0
38,42,1,2,81,0,0,0,1,0
30,141,2,1,0,0,0,0,1,0
32,32,1,3,0,0,0,0,1,0
35,55,4,1,0,0,0,0,0,0
43,153,2,1,0,0,0,0,1,0
58,113,2,1,270,0,0,0,0,1
25,30,2,2,0,0,0,0,0,0
54,29,3,3,148,0,0,0,0,1
57,174,1,2,466,1,0,0,1,0
50,35,1,3,0,0,0,0,1,0
32,98,2,2,175,0,0,0,1,0
63,30,2,3,159,0,0,0,1,0
31,58,2,1,0,0,0,0,0,1
36,25,4,1,147,0,0,0,0,0
58,19,4,1,0,0,0,0,0,0
56,44,4,2,174,0,0,0,1,0
49,20,4,1,111,0,0,0,1,1
30,98,2,1,220,0,0,0,1,0
33,90,3,1,0,0,0,0,1,0
45,61,3,1,0,0,0,0,0,0
30,40,4,2,0,0,0,0,1,0
47,38,2,3,0,0,0,0,0,0
25,28,2,2,0,0,0,0,0,0
63,34,1,3,0,0,0,0,1,1
55,73,2,3,0,0,0,0,1,1
65,133,4,1,0,1,0,0,0,1
44,53,1,1,0,0,0,0,1,0
51,21,4,3,0,0,0,0,1,1
35,40,3,1,0,0,0,0,1,0
30,41,4,2,0,0,0,0,1,0
31,82,4,2,0,0,0,0,1,0
54,100,4,3,0,1,0,0,0,0
45,155,1,1,0,0,0,0,1,1
45,45,1,1,0,0,0,0,1,0
58,9,3,3,0,0,0,0,0,1
54,48,4,3,0,0,0,0,1,0
53,18,4,3,109,0,1,1,1,1
33,80,4,1,0,0,0,0,1,1
60,64,2,1,0,0,0,0,0,0
50,29,4,1,0,0,0,0,0,0
26,48,3,2,0,0,0,0,1,0
54,23,2,1,0,0,0,0,0,0
28,84,4,1,0,0,0,0,1,1
36,179,3,1,0,1,0,0,1,0
29,30,4,2,112,0,0,0,0,1
54,93,1,1,133,0,0,1,1,1
55,39,2,2,0,0,0,0,0,0
61,60,3,2,182,0,0,0,0,0
36,133,1,1,290,0,1,1,1,1
45,125,1,1,0,0,0,0,0,0
64,58,1,3,0,0,0,0,1,0
60,89,2,1,0,0,0,0,1,0
49,82,1,2,125,0,0,0,1,0
47,110,2,1,0,0,0,0,1,1
60,54,4,3,0,0,1,0,0,0
45,89,4,3,0,0,0,0,1,0
32,42,3,1,0,0,0,0,1,0
52,41,3,2,0,0,0,0,0,1
35,38,4,2,124,0,0,0,1,0
40,85,2,1,0,0,0,0,1,0
53,83,4,2,0,0,0,0,1,0
27,33,4,3,0,0,0,0,0,0
58,50,4,1,0,0,0,0,0,1
47,58,4,3,0,0,0,0,1,1
28,115,4,2,0,1,0,0,0,0
46,145,2,1,0,0,1,1,1,0
43,161,2,1,0,0,0,0,0,0
56,38,1,1,0,0,0,0,0,0
28,28,4,1,0,0,0,0,1,0
42,75,3,1,0,0,0,0,0,1
32,35,3,1,116,0,0,0,0,1
62,24,2,1,116,0,0,0,0,1
37,78,4,2,0,0,0,0,1,0
51,113,1,3,161,0,0,0,1,0
39,75,3,1,224,0,0,0,1,0
43,91,1,1,0,0,0,0,1,0
52,31,4,1,141,0,0,0,1,1
30,45,1,2,0,0,0,0,1,0
52,80,3,1,0,0,0,0,0,0
61,50,3,3,112,0,0,0,1,0
36,31,4,2,0,0,1,0,1,0
58,113,2,2,119,1,0,1,1,1
47,29,4,1,0,0,0,0,1,0
64,59,2,1,139,0,0,0,1,0
52,43,1,2,0,0,1,0,1,0
58,122,1,3,115,1,0,0,1,0
48,29,1,1,0,0,0,0,0,0
64,91,2,3,0,0,0,0,1,1
58,65,3,3,0,0,0,0,1,0
47,22,1,1,0,0,0,0,0,1
49,71,1,3,0,0,0,0,0,0
31,60,4,2,0,0,0,0,1,1
61,60,3,3,0,0,0,0,1,0
51,69,1,1,0,0,0,0,1,1
28,48,2,3,89,0,0,0,1,0
39,21,3,2,0,0,0,0,0,0
54,53,4,2,0,0,1,0,0,0
50,29,3,3,0,0,0,0,0,0
30,60,4,2,0,0,0,0,1,0
64,42,3,2,116,0,0,0,1,0
29,69,3,3,0,0,0,0,0,0
48,20,1,1,0,0,0,0,1,1
35,200,2,1,458,0,0,0,0,0
60,141,2,1,0,0,0,0,1,1
55,81,2,1,0,0,1,0,0,0
29,183,3,3,0,1,0,0,1,0
48,149,2,2,0,1,1,1,1,0
43,83,4,3,0,1,0,0,0,1
66,35,1,2,172,0,0,0,1,0
25,13,2,3,0,0,0,0,1,0
45,39,1,1,0,0,0,0,0,1
34,21,1,3,0,0,0,0,1,0
48,10,2,3,0,0,0,0,1,1
32,84,4,2,0,0,0,0,0,0
50,30,4,1,161,0,0,0,1,1
43,31,4,1,156,0,0,0,1,0
64,182,1,2,547,1,0,0,1,0
60,114,2,1,0,0,0,0,1,0
43,152,3,2,0,1,0,0,0,0
60,53,1,2,0,0,1,0,0,1
64,24,4,2,78,0,0,0,1,0
44,150,2,1,0,0,0,0,0,1
60,132,2,1,470,0,0,0,1,1
54,68,3,3,0,0,0,0,1,1
33,53,1,1,0,0,0,0,0,1
56,173,1,2,88,1,0,1,1,0
29,30,3,2,0,0,0,0,0,0
25,113,2,1,0,0,0,0,1,1
60,15,1,2,0,0,0,0,1,0
55,84,2,1,304,0,1,0,1,0
39,88,4,2,0,0,0,0,1,1
37,43,3,1,0,0,0,0,1,0
53,43,2,3,0,0,0,1,1,1
34,90,2,1,0,0,0,0,1,0
42,34,4,1,104,0,1,0,1,0
60,38,4,1,0,0,0,0,1,0
50,173,1,1,0,0,0,0,1,1
41,160,2,1,0,0,0,0,1,0
25,44,4,2,0,0,0,0,1,1
50,83,2,3,0,0,0,0,1,0
48,94,4,3,0,0,0,0,1,0
32,43,1,3,0,0,0,0,0,1
50,42,3,2,0,0,0,0,1,0
59,34,2,1,0,0,0,0,0,0
50,39,3,2,0,0,0,0,1,0
44,70,1,2,0,0,0,0,0,0
31,39,4,3,185,0,0,0,0,1
40,44,3,3,0,0,0,0,1,0
36,69,3,2,0,1,0,0,1,0
51,44,3,3,0,0,0,0,0,0
64,32,3,3,0,0,0,0,1,0
47,15,2,3,0,0,0,0,0,0
52,118,2,1,112,0,0,0,1,0
51,62,1,2,221,0,0,0,1,0
31,82,4,2,0,0,0,0,0,0
39,54,3,1,108,0,0,0,0,1
30,48,1,3,0,0,0,0,0,0
27,74,3,3,0,0,0,0,1,0
41,113,1,3,211,0,0,0,0,1
53,81,3,2,0,0,0,0,0,0
54,43,3,2,169,0,0,0,0,0
28,34,1,2,0,0,0,0,1,0
34,48,1,3,105,0,0,0,1,0
61,54,4,2,129,0,0,0,1,1
48,75,4,2,0,0,0,0,1,0
36,72,1,1,224,0,0,0,0,0
56,39,4,1,0,0,0,0,0,0
24,75,4,1,0,0,0,0,1,0
64,79,2,1,179,0,0,0,0,0
26,205,1,1,271,0,0,0,0,1
33,65,2,1,89,0,0,0,1,0
64,122,4,1,378,1,0,0,1,0
39,82,1,2,0,0,0,0,1,0
54,21,2,1,0,0,0,0,0,1
32,50,4,3,0,0,1,1,1,1
62,39,2,1,113,0,0,1,1,1
27,101,1,1,0,0,0,0,0,0
53,41,2,3,0,0,1,0,0,0
51,132,1,1,0,0,0,0,1,0
25,43,3,2,176,0,0,0,1,0
44,131,1,3,0,1,0,0,1,0
31,11,1,2,76,0,0,0,0,1
57,21,1,3,117,0,0,0,0,0
25,109,4,3,314,0,0,0,1,0
30,141,2,1,0,0,0,0,0,0
40,81,3,1,0,0,0,0,1,0
63,54,3,1,90,0,0,0,0,1
35,164,2,1,0,0,0,0,1,0
43,28,4,1,87,0,0,0,0,0
27,68,3,3,203,0,1,0,0,0
44,44,3,3,180,0,1,1,1,1
49,61,1,3,0,0,0,0,1,1
61,35,3,2,0,0,0,0,0,1
60,54,3,2,0,0,0,0,1,1
59,14,1,1,0,0,0,0,1,1
28,52,4,1,230,0,0,0,1,0
52,101,2,1,0,0,0,0,0,0
28,149,2,1,0,0,0,0,1,0
34,35,4,1,137,0,0,1,1,1
60,21,3,3,129,0,0,0,1,0
39,118,2,1,0,0,0,0,0,1
30,38,4,2,0,0,1,0,0,0
49,24,4,1,138,0,0,0,1,0
43,59,1,3,0,0,0,0,1,0
63,41,4,3,0,0,0,0,1,0
28,85,1,2,0,0,0,0,1,1
51,12,4,1,0,0,0,0,1,0
33,32,1,3,152,0,0,0,0,0
55,79,3,1,0,0,0,0,1,0
53,175,3,3,0,1,0,1,1,1
34,28,3,1,0,0,0,0,0,0
34,41,2,1,161,0,0,0,1,1
40,70,3,1,185,0,0,0,0,0
49,161,3,2,485,1,1,1,0,0
35,53,4,2,0,0,0,0,1,0
39,128,1,1,0,0,0,0,0,0
55,50,3,2,0,0,0,0,1,1
29,80,2,2,0,0,0,0,1,1
54,93,1,2,0,0,0,0,1,0
25,48,3,3,0,0,0,0,0,1
52,149,2,1,0,0,0,0,1,0
46,49,3,2,0,0,0,0,1,1
57,88,1,2,0,0,0,0,1,0
52,22,4,3,0,0,0,0,1,1
28,55,4,1,0,0,0,0,1,1
44,72,1,3,155,0,0,0,0,0
24,38,2,2,0,0,0,0,1,0
40,114,1,1,300,0,0,0,1,0
34,83,4,3,0,0,0,0,1,0
39,101,2,1,0,0,0,0,1,1
50,94,1,1,272,0,0,0,1,0
41,40,2,1,0,0,0,1,1,1
31,128,1,1,0,0,0,0,0,0
29,39,4,3,0,0,0,0,1,0
30,51,1,1,0,0,0,0,1,0
44,79,4,3,0,0,1,1,1,1
33,48,4,2,0,0,0,0,1,0
50,85,1,1,144,0,0,0,0,0
42,41,1,1,94,0,0,0,1,0
48,152,1,3,0,1,0,0,1,0
24,125,2,1,0,0,1,0,0,1
56,11,2,3,90,0,0,0,0,0
28,103,2,1,0,0,0,0,1,1
56,141,2,1,0,0,0,0,1,0
58,38,1,1,0,0,0,0,1,1
29,135,2,1,0,0,0,0,0,0
63,28,2,2,89,0,0,0,1,0
28,70,4,1,240,0,0,0,0,1
57,41,1,1,0,0,0,0,1,1
34,81,3,2,208,0,0,0,1,0
28,170,1,3,0,1,0,0,0,0
27,55,4,2,0,0,0,0,1,0
37,24,4,3,0,0,0,0,0,0
52,81,3,2,275,0,0,0,0,0
49,32,4,1,83,0,0,0,0,0
65,129,1,1,0,0,0,0,1,1
60,108,1,1,0,0,1,0,0,0
37,180,1,1,0,0,0,0,1,1
63,139,2,1,0,0,0,0,0,0
40,33,2,3,0,0,0,0,1,1
46,74,4,3,0,0,0,0,1,0
63,42,2,3,115,0,0,0,1,0
57,73,1,3,0,0,0,0,0,0
33,115,4,2,0,1,0,0,1,0
41,114,2,2,0,0,0,0,1,0
41,92,2,1,131,0,0,0,1,0
44,34,1,3,78,0,0,0,1,0
33,54,2,2,122,0,0,0,1,0
52,64,2,3,211,0,0,0,1,0
30,42,1,3,100,0,0,0,0,1
45,70,3,1,0,0,0,0,1,0
49,51,1,2,0,0,0,0,0,0
45,71,4,1,218,0,0,1,1,1
32,35,3,1,108,0,0,0,0,1
45,40,3,2,0,0,0,0,1,0
57,165,4,3,0,1,0,0,1,0
61,18,1,3,0,0,0,0,1,1
57,32,3,1,0,0,1,1,1,1
60,35,3,1,169,0,0,0,1,0
40,120,2,1,196,0,0,0,1,0
53,31,4,3,0,0,0,0,1,0
42,35,3,1,0,0,0,0,0,0
62,32,2,3,0,0,0,0,1,1
43,85,1,3,327,0,1,0,1,0
35,139,2,1,0,0,0,0,0,0
50,103,1,1,0,0,0,0,1,0
45,152,2,1,0,0,0,0,1,0
52,33,2,2,0,0,0,0,1,0
35,84,4,2,322,0,0,0,0,0
58,61,4,1,0,0,0,0,0,0
62,64,4,1,123,0,1,1,1,1
50,34,1,2,0,0,0,0,1,0
25,82,4,3,0,0,0,0,1,0
47,122,1,3,163,1,1,0,0,0
28,58,3,1,131,0,0,0,0,0
34,92,1,1,0,0,0,0,1,0
49,78,2,2,205,0,0,0,0,1
54,129,4,3,0,1,0,0,0,0
50,13,2,3,0,0,0,0,0,0
37,81,1,3,145,0,0,0,0,0
38,23,1,3,0,0,0,0,0,0
52,35,3,3,0,0,0,0,0,0
63,79,4,2,0,0,0,0,1,1
39,165,2,1,0,0,0,0,1,0
63,52,2,1,0,0,0,0,1,0
65,185,3,2,0,1,0,0,0,0
46,49,3,2,0,0,0,0,0,0
54,64,1,3,227,0,0,0,0,1
54,61,4,3,0,0,1,0,1,0
52,112,1,1,0,0,1,1,1,1
63,72,3,3,190,0,1,0,1,0
66,18,3,1,0,0,0,0,0,0
56,41,4,2,0,0,0,0,0,0
23,61,4,1,239,0,0,0,1,0
65,105,1,2,282,1,1,1,1,0
51,23,1,1,0,0,0,0,1,0
34,22,1,3,85,0,0,0,0,0
49,59,3,1,0,0,0,0,0,0
29,33,1,2,160,0,0,0,0,0
47,11,1,3,103,0,0,0,0,1
46,204,2,1,0,0,0,0,1,0
52,61,4,3,207,0,0,0,0,0
55,103,3,2,364,0,0,0,0,0
61,51,3,1,0,0,0,0,0,1
34,164,1,3,0,1,0,0,1,0
58,12,1,2,0,0,0,0,0,1
40,82,1,2,0,0,0,0,0,0
43,164,1,1,449,0,0,0,1,0
35,48,2,2,0,0,0,0,1,0
24,38,4,2,0,0,0,0,1,0
48,65,2,2,0,0,0,0,1,0
44,71,4,1,207,0,0,0,1,0
54,18,1,1,0,0,1,1,1,0
59,52,2,3,75,0,0,0,1,0
45,48,3,2,113,0,0,0,1,1
26,30,1,3,111,0,0,0,0,0
40,40,2,3,107,0,0,0,1,0
32,112,1,1,81,0,0,0,1,0
